naics_4,aiie_21,aiie_23,emp,wagebill,expwb_21,expwb_23
3346,0.1490236,0.1217256,6410.0,429405200.0,0.29757524188696366,0.29633170398346365
3351,0.5806971,0.4803347,37770.0,2306545600.0,0.4960817159892915,0.47146157350237083
3352,0.0281708,-0.1022941,62470.0,3598590300.0,0.24007812752062108,0.1951258859720847
3353,0.332973,0.1497846,133140.0,8334264800.0,0.3099789300182435,0.24747576047707173
3359,-0.0384073,-0.1593534,135580.0,7863475600.0,0.24240127293343164,0.19507717891816567
3361,-0.3023474,-0.4568835,236980.0,14159023700.0,-0.04935157265160944,-0.08900742552734692
3362,-0.8058288,-0.89675,154950.0,7551066400.0,-0.22244380754450788,-0.24824765057092996
3363,-0.5860924,-0.7298725,534450.0,27710479600.0,-0.1190050728712624,-0.1804979385817884
3364,0.5189539,0.2732446,467260.0,41162768600.0,0.37756738531598655,0.27542422354639723
3365,-0.6623871,-0.792437,18190.0,1101142900.0,0.061494867894339604,0.0005861530156258746
3366,-0.6675431,-0.7998238,135530.0,8016173500.0,-0.21071522540644236,-0.2663824791535375
3369,-0.1676746,-0.297176,34920.0,1875787900.0,-0.09492790260529989,-0.15245871738587288
3370,-1.000794,-1.048481,329260.0,14898228400.0,-0.3289183471289083,-0.3489667021400632
3379,-0.5724769,-0.6635574,33980.0,1410523400.0,-0.049735243625189045,-0.07674670361197128
3391,0.2301883,0.013895,310850.0,19325379100.0,0.3295957833090721,0.24720995414581645
3399,-0.068744,-0.1698289,272800.0,14050592500.0,0.1373064602284103,0.10369286261423495
4230,0.2424777,0.279742,1364380.0,82106331000.0,0.2939265532308932,0.3238904798924633
4231,-0.1601646,-0.1336922,335560.0,17743692200.0,0.10745761910041195,0.1294566775070101
4234,1.041147,1.011622,657800.0,50018436700.0,0.5676907197818135,0.5753846885827429
4238,0.2607571,0.2634982,674010.0,42267692200.0,0.21653894874773055,0.23737621296433783
4240,0.10753716666666667,0.13955303333333335,1814060.0,109062945900.0,0.23376340972587595,0.2606791203572835
4243,0.6573116,0.7209005,126450.0,8157000100.0,0.5743220677748796,0.599868744942314
4245,-0.7109669,-0.6865089,66630.0,3128530000.0,-0.11884664987332387,-0.10452865155011781
4251,0.9876717,1.062347,450280.0,33884000300.0,0.6623252262381145,0.7271233672145092
4411,-0.1668894,-0.0857672,1218010.0,65604843200.0,0.013374898823402162,0.06915053956980877
4412,-0.1300993,-0.0086145,161850.0,7625615900.0,-0.0229406297236673,0.05179614410619344
4413,-0.6871853,-0.5935317,539440.0,19773139600.0,-0.3226531783373127,-0.25627179082124774
4421,-0.0112289,0.1916725,207860.0,9066061800.0,0.08285770967875491,0.19390747421235535
4422,0.049807,0.295247,224410.0,8866986000.0,0.06159463765129774,0.19717643597553894
4431,0.3619018,0.5540931,412100.0,17838859500.0,0.19770295866140714,0.2688065094453202
